Session,Exp,Set
481_FED_20161107_3T1_PL2017,langlocSN,Language
482_FED_20161104_3T1_PL2017,langlocSN,Language
484_FED_20161108_3T1_PL2017,langlocSN,Language
488_FED_20161109_3T2_PL2017,langlocSN,Language
489_FED_20161114d_3T1_PL2017,langlocSN,Language
490_FED_20161115_3T1_PL2017,langlocSN,Language
491_FED_20161115_3T1_PL2017,langlocSN,Language
492_FED_20161116_3T2_PL2017,langlocSN,Language
493_FED_20161117_3T1_PL2017,langlocSN,Language
494_FED_20161114a_3T1_PL2017,langlocSN,Language
494_FED_20170106a_3T2_PL2017,langlocSN,Language
495_FED_20161114_3T2_PL2017,langlocSN,Language
496_FED_20161118_3T1_PL2017,langlocSN,Language
497_FED_20161118_3T1_PL2017,langlocSN,Language
498_FED_20161121a_3T1_PL2017,langlocSN,Language
499_FED_20161121b_3T1_PL2017,langlocSN,Language
500_FED_20161121_3T1_PL2017,langlocSN,Language
501_FED_20161122_3T1_PL2017,langlocSN,Language
502_FED_20161122_3T1_PL2017,langlocSN,Language
503_FED_20161128_3T2_PL2017,langlocSN,Language
504_FED_20161130_3T2_PL2017,langlocSN,Language
505_FED_20161204_3T2_PL2017,langlocSN,Language
506_FED_20161205_3T2_PL2017,langlocSN,Language
507_FED_20161207_3T2_PL2017,langlocSN,Language
508_FED_20161208_3T2_PL2017,langlocSN,Language
509_FED_20161208_3T2_PL2017,langlocSN,Language
510_FED_20161212_3T2_PL2017,langlocSN,Language
511_POLY12_20161212_3T2_PL2017,langlocSN,Language
512_FED_20161213_3T2_PL2017,langlocSN,Language
513_FED_20161215_3T2_PL2017,langlocSN,Language
514_FED_20161215_3T2_PL2017,langlocSN,Language
515_FED_20161216_3T2_PL2017,langlocSN,Language
517_FED_20161219_3T2_PL2017,langlocSN,Language
518_FED_20161219_3T2_PL2017,langlocSN,Language
519_FED_20161220_3T2_PL2017,langlocSN,Language
520_FED_20161227a_3T2_PL2017,langlocSN,Language
521_FED_20161228a_3T2_PL2017,langlocSN,Language
522_FED_20161228e_3T2_PL2017,langlocSN,Language
523_FED_20161227b_3T2_PL2017,langlocSN,Language
524_FED_20180802a_3T2_PL2017,langlocSN,Language
524_FED_20170105a_3T2_PL2017,langlocSN,Language
525_FED_20170109a_3T2_PL2017,langlocSN,Language
526_FED_20170111a_3T2_PL2017,langlocSN,Language
527_FED_20170113a_3T2_PL2017,langlocSN,Language
528_FED_20170116a_3T2_PL2017,langlocSN,Language
529_FED_20170116b_3T2_PL2017,langlocSN,Language
530_FED_20170114a_3T2_PL2017,langlocSN,Language
531_FED_20170117a_3T2_PL2017,langlocSN,Language
532_FED_20170118b_3T2_PL2017,langlocSN,Language
533_FED_20170119_3T2_PL2017,langlocSN,Language
534_FED_20170119b_3T2_PL2017,langlocSN,Language
535_FED_20170123b_3T2_PL2017,langlocSN,Language
536_FED_20170125a_3T2_PL2017,langlocSN,Language
537_FED_20170126b_3T2_PL2017,langlocSN,Language
538_FED_20170127_3T2_PL2017,langlocSN,Language
539_FED_20170127a_3T2_PL2017,langlocSN,Language
540_FED_20170201a_3T2_PL2017,langlocSN,Language
541_FED_20170203b_3T2_PL2017,langlocSN,Language
541_FED_20170615a_3T2_PL2017,langlocSN,Language
542_FED_20170207_3T2_PL2017,langlocSN,Language
543_FED_20170206_3T2_PL2017,langlocSN,Language
544_FED_20170210_3T2_PL2017,langlocSN,Language
545_FED_20170217c_3T2_PL2017,langlocSN,Language
546_FED_20170223_3T2_PL2017,langlocSN,Language
547_FED_20170222_3T2_PL2017,langlocSN,Language
548_FED_20170227_3T2_PL2017,langlocSN,Language
549_FED_20170228a_3T2_PL2017,langlocSN,Language
550_FED_20170228c_3T2_PL2017,langlocSN,Language
551_FED_20170302b_3T2_PL2017,langlocSN,Language
551_FED_20170328a_3T2_PL2017,langlocSN,Language
551_FED_20170412a_3T2_PL2017,langlocSN,Language
552_FED_20170307a_3T2_PL2017,langlocSN,Language
553_FED_20170313d_3T2_PL2017,langlocSN,Language
554_FED_20170315a_3T2_PL2017,langlocSN,Language
555_FED_20170426c_3T2_PL2017,langlocSN,Language
555_FED_20170315b_3T2_PL2017,langlocSN,Language
